sample,farm,month,species,Acer,Achillea.millefolium,Aesculus.hippocastanum,Agapanthus,Agrostis.stolonifera,Ailanthus.altissima,Ajuga,Ajuga.reptans,Allium,Alopecurus.pratensis,Althaea.officinalis,Amaryllidaceae,Anemone,Anthriscus.sylvestris,Anthyllis.vulneraria,Antirrhinum.majus,Apiaceae,Artemisia,Asparagaceae,Asphodelaceae,Asteraceae,Astilbe,Bartsia,Begonia,Berberis,Betulaceae,Boraginaceae,Brassica,Brassicaceae,Buddleja.davidii,Camellia,Caprifoliaceae,Cardamine,Caricaceae,Caryophyllaceae,Castanea.sativa,Centaurea.nigra,Cerastium,Chenopodiaceae,Chenopodium,Citrus,Clematis,Convallaria.majalis,Convolvulaceae,Convolvulus.arvensis,Cornus,Corylus.avellana,Crassulaceae,Crataegus.monogyna,Crepis.capillaris,Cucurbita,Cucurbitaceae,Cynareae,Davidia.involucrata,Epilobium,Ericaceae,Eucalyptus,Euphorbia,Euphorbiaceae,Fabaceae,Fabeae,Fallopia,Festuca,Ficaria.verna,Filipendula.ulmaria,Foeniculum.vulgare,Forsythia,Fragaria,Fraxinus,Fuchsia,Gaillardia.aristata,Glechoma.hederacea,Hamamelis.mollis,Hedera.helix,Helleborus.orientalis,Holcus.lanatus,Hyacinthaceae,Hyacinthoides.non-scripta,Hydrangea,Hypericum,Hypericum.androsaemum,Hyssopus.officinalis,Ilex.aquifolium,Impatiens.glandulifera,Iridaceae,Juncus,Juniperus.communis,Lactuca.sativa,Lamiaceae,Lamium,Lathyrus,Laurus.nobilis,Lavandula.angustifolia,Lepidium.campestre,Ligustrum,Linaria.vulgaris,Lobularia.maritima,Lolium,Lonicera,Lotus,Lotus.corniculatus,Lupinus.luteus,Malus,Malvaceae,Melilotus,Mentha,Mentha.spicata,Mentheae,Menyanthes.trifoliata,Mercurialis,Myrtaceae,Myrtus.communis,Narcissus,Nerium.oleander,Oenothera,Olea.europaea,Oleaceae,Onobrychis.viciifolia,Ononis.repens,Origanum.vulgare,Orobanchaceae,Oxalidaceae,Papaver,Papaveraceae,Paulownia.tomentosa,Pericallis.hybrida,Pinus,Plantago,Platanus,Poa,Poaceae,Populus,Potentilla,Primula.veris,Prunella,Prunus,Quercus,Ranunculaceae,Ranunculus,Raphanus,Rheum.palmatum,Rhinanthus.minor,Rhododendron,Ribes,Rosa,Rosaceae,Rubus,Salicaceae,Salix,Salvia,Sambucus.nigra,Sapindaceae,Scrophulariaceae,Scutellaria,Scutellaria.galericulata,Silene,Solanaceae,Solanum,Solidago,Sonchus,Sorbus,Sparganium.emersum,Stachys,Stellaria,Syringa.vulgaris,Taraxacum.officinale,Teucrium,Tilia,Trifolium,Trifolium.pratense,Trifolium.repens,Typha.latifolia,Ulmus,Urtica.dioica,Veronica,Viburnum,Vicia,Viola
B-E-005_S29,B,April,Bombus.terrestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013799901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030064071,0,0,0,0,0,0,0,0,0,0,0,0,0.011828487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046328241,0,0.808279941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082799409,0,0,0,0,0,0,0,0,0,0,0,0
B-E-012b_S37,B,April,Bombus.terrestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008145482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001212351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000416746,0.001136579,0,0,0,0,0,0,0.003409737,0.00037886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01689714,0,0,0,0,0,0,0,0,0,0,0,0,0.003144535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957416177,0,0,0,0,0,0,0,0,0,0,0,0.007425649
B-E-021_S45,B,April,Bombus.hypnorum,0,0,0,0,0,0,0,0,0,0,0.001049577,0,0,0,0,0,0,0,0,0,0.072359079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000710008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000648268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000555658,0,0.004476138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001358276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000339569,0,0,0,0.002623943,0,0,0,0,0,0,0,0,0,0,0,0.001512626,0.443291968,0,0,0,0,0,0,0,0,0,0.000833488,0,0,0,0,0,0,0.466475273,0,0,0,0,0.000740878,0,0,0,0,0,0,0
B-E-022_S53,B,April,Bombus.lapidarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002358686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003227675,0,0,0,0,0,0,0,0,0,0,0.001241414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993172225,0,0,0,0,0,0,0,0,0,0,0,0
B-E-025_S61,B,April,Bombus.pascuorum,0,0,0,0.00242074,0,0,0,0,0,0,0,0.013196939,0,0,0,0,0,0,0.00242074,0,0,0,0,0,0,0,0,0.088474153,0,0,0.000780884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002030298,0,0,0,0,0.001249414,0,0,0,0,0,0.001874122,0,0,0,0,0,0,0,0,0.02483211,0,0,0,0,0,0,0,0,0.086131501,0,0,0,0,0,0,0,0,0,0,0.031001093,0.446899891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009136342,0,0.002498829,0,0,0.063642043,0,0,0,0.005310011,0,0,0,0,0,0,0,0,0,0,0,0,0.001093238,0,0,0,0.032719038,0,0.156801499,0,0,0,0,0,0,0,0,0,0,0.001874122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001015149,0,0,0.000858972,0,0,0,0,0,0,0,0,0,0,0,0
B-E-033_S69,B,April,Bombus.terrestris,0.006499929,0,0.002731854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010362206,0,0,0,0.035231501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000471009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000894918,0,0,0,0,0,0,0,0,0.001177523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002543451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029485187,0,0,0,0,0,0,0,0,0,0,0,0,0.000565211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907493759,0,0,0,0,0.001460129,0,0,0,0,0,0,0
B-E-051_S77,B,April,Bombus.pascuorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002468729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001528261,0,0,0,0.000305652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000658328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994780401,0,0,0,0,0.000258629,0,0,0,0,0,0,0
B-E-052_S85,B,April,Bombus.lapidarius,0.000711275,0,0.000316122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003003161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001527924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005716544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987223393,0,0,0,0,0.001501581,0,0,0,0,0,0,0
B-E-053_S93,B,April,Bombus.terrestris,0.025670373,0,0.00793002,0,0,0,0,0,0,0,0.000899281,0,0,0,0,0,0,0,0,0,0.001553303,0.004332897,0,0,0,0,0,0.00645847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001716808,0,0,0,0,0,0,0,0.008011772,0,0,0,0,0,0,0,0,0,0,0.000817528,0.001880314,0,0,0,0.00498692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147155,0,0,0,0,0,0,0,0,0.001716808,0,0.001062786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277795945,0,0,0,0,0,0,0,0.590990844,0,0,0,0,0.000981033,0,0,0.001880314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036788751,0,0.000817528,0,0,0.003351864,0,0,0,0,0,0,0
B-E-054_S6,B,April,Bombus.pascuorum,0,0,0,0,0,0,0,0,0.00193218,0,0,0,0,0,0,0,0,0,0,0,0.004733842,0.001738962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004830451,0,0,0,0.003574534,0,0,0,0,0,0,0,0,0,0,0.034972466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006376196,0.034006376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016230316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022026857,0,0,0,0,0,0,0,0.326731717,0,0.005603323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001545744,0,0,0,0,0,0.53115641,0,0,0,0,0,0,0,0,0,0,0,0
B-E-055_S14,B,April,Bombus.pascuorum,0.001630656,0,0,0,0,0,0,0,0.002547901,0,0,0,0,0,0,0,0,0,0,0,0.004790053,0,0,0,0,0,0.109355891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726355483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002649817,0,0,0,0,0.001121076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147064819,0,0,0,0,0,0,0,0,0,0.001732572,0,0
B-E-056_S22,B,April,Bombus.pascuorum,0,0,0,0,0,0,0,0,0.362851095,0,0,0,0,0,0,0,0,0,0.005720497,0,0.003775528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000972484,0,0,0,0,0,0,0,0,0,0,0,0.000858074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002631428,0.00068646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000858074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613866484,0,0,0,0,0.001315714,0,0,0,0,0,0,0
B-E-065b_S30,B,April,Bombus.pascuorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003410014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003166441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000568336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003464141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989391069,0,0,0,0,0,0,0,0,0,0,0,0
EM-E-009_S38,EM,April,Bombus.lapidarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002413217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001378981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995200085,0,0,0,0,0.001007717,0,0,0,0,0,0,0
EM-E-011_S46,EM,April,Bombus.lapidarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003877276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000561924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006012587,0,0,0,0,0,0,0,0,0,0,0.001011463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98853675,0,0,0,0,0,0,0,0,0,0,0,0
EM-E-015_S54,EM,April,Bombus.pascuorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036997423,0,0,0,0,0.000729253,0,0,0,0,0.112791093,0,0.000826486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000583402,0,0,0,0,0,0,0,0,0,0,0.011279109,0,0,0,0,0.003451796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000972337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011765278,0,0,0,0,0,0,0.000534785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052360348,0,0,0,0,0,0,0,0,0,0,0.000534785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761388497,0,0,0,0,0.002576693,0,0,0,0,0.001069571,0,0
EM-E-026_S62,EM,April,Bombus.terrestris,0,0,0,0,0,0,0,0,0.002252827,0,0,0,0,0,0,0,0,0,0,0,0.008841282,0,0,0,0,0,0.026353821,0,0,0,0,0,0.000637592,0.000595086,0.001232679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005185752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001147666,0.00165774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006290912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010711553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000722605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110516,0,0,0,0,0,0,0,0,0,0.000467568,0,0,0,0,0,0,0.875839497,0,0,0,0,0.000637592,0,0,0,0,0,0,0.055300519
EM-E-038_S70,EM,April,Bombus.lapidarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005595658,0,0,0,0,0.005763528,0,0.277096973,0,0,0,0,0,0.001902524,0,0,0,0,0,0,0,0,0,0,0,0,0.000895305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604331,0.026747244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010407923,0,0,0,0.000727436,0,0,0.001063175,0.002574003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225281182,0,0,0,0,0,0,0,0,0,0,0,0,0.001007218,0,0,0,0,0,0,0,0,0,0.000895305,0,0,0,0,0,0,0.426668905,0,0,0,0.000671479,0.003357395,0,0,0,0,0,0,0
EM-E-039_S78,EM,April,Bombus.terrestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004868799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384379,0,0,0,0,0,0,0,0,0,0,0.003100656,0,0,0,0.022422099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003382534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156134686,0,0,0,0,0,0,0,0,0,0.000256253,0,0,0.001306888,0,0,0,0,0,0,0,0,0,0,0.002613776,0,0,0,0,0,0.803454285,0,0,0,0,0.000999385,0,0,0.000410004,0,0,0,0
EM-E-041_S86,EM,April,Bombus.lapidarius,0,0,0.011753418,0,0,0,0,0,0,0,0.001888942,0,0,0,0,0,0,0,0,0,0.009174862,0,0,0,0,0,0,0,0,0,0.00083953,0,0,0,0,0,0,0,0,0,0,0.015111538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015771168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000479731,0,0,0,0,0,0.012862797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037748861,0,0,0,0,0,0,0.264242024,0,0,0,0,0,0,0,0,0.000539698,0,0,0,0,0,0,0.000419765,0,0,0,0,0,0,0.607969537,0,0,0,0,0.000929479,0,0,0,0,0.002128808,0,0
EM-E-049_S94,EM,April,Bombus.terrestris,0,0,0,0,0,0,0,0,0.000472497,0,0,0,0,0,0,0,0,0,0,0,0.002795606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000472497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994566287,0,0,0,0,0.001693113,0,0,0,0,0,0,0
EM-E-050_S7,EM,April,Bombus.terrestris,0.025833702,0,0.007759933,0,0,0,0,0,0.110554491,0,0,0,0,0,0,0,0,0,0.001326065,0,0.004960464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002111881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035607288,0,0,0,0,0,0.005451599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005697166,0,0,0,0,0,0,0,0,0,0,0,0.000736703,0,0,0.000785816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791022052,0,0,0,0,0.001129611,0,0,0,0,0,0,0
